x,y,heading,curvature
1.540618639850153748e+01,-1.182607561473217217e+01,2.368411817380434048e+00,5.757081373373572342e-02
1.530995401105046128e+01,-1.173119535534077329e+01,2.348836594399481115e+00,-3.580019470900687728e-01
1.522178673381821312e+01,-1.163539640740671821e+01,2.268462448081523863e+00,-9.235808647194917453e-01
1.515109675316120885e+01,-1.153759311941898602e+01,2.106110337236720031e+00,-1.858396458268460449e+00
1.510729625543586430e+01,-1.143669983986653449e+01,1.829626797565172103e+00,-3.197642385203717463e+00
1.509898877112076221e+01,-1.133173238003565508e+01,1.477354804364184870e+00,-2.904098651200267778e+00
1.512462145821156767e+01,-1.122298088061661581e+01,1.224406999697826404e+00,-1.677756876835662103e+00
1.517571129650593775e+01,-1.111160501813713530e+01,1.073553077329354233e+00,-8.643530029606637521e-01
1.524364154454709031e+01,-1.099878124725381490e+01,9.948742422786956974e-01,-3.707735471119067983e-01
1.531979546087825206e+01,-1.088568602262326657e+01,9.696121126193050221e-01,-1.002715479360862839e-02
1.539555630404263908e+01,-1.077349579890208453e+01,9.924195514938078944e-01,3.623192324644400331e-01
1.546368950785270613e+01,-1.066307495954865736e+01,1.043978619177784894e+00,4.056814654313552482e-01
1.552360945400762837e+01,-1.055378667093255807e+01,1.094459597671453066e+00,3.998248216260604226e-01
1.557672734952709348e+01,-1.044454325090632985e+01,1.141323701975709870e+00,3.672511353815263169e-01
1.562445478771903673e+01,-1.033425693010534197e+01,1.182293022015361350e+00,3.111334521020357458e-01
1.566820336189137741e+01,-1.022183993916495126e+01,1.215589540580132910e+00,2.391703696460991124e-01
1.570938789422967652e+01,-1.010621333792515664e+01,1.239534045535625850e+00,1.185960081945797023e-01
1.574989566877288283e+01,-9.987590109569554286e+00,1.238821500042892820e+00,-1.263821601684825824e-01
1.579257920287263595e+01,-9.868822619572126698e+00,1.207615192879657462e+00,-3.708092217977441707e-01
1.584040886475400889e+01,-9.753085490734815011e+00,1.144500023623284291e+00,-6.445071400832582675e-01
1.589635502264206579e+01,-9.643553345859563919e+00,1.046071581853983634e+00,-9.642952035519681830e-01
1.596338804476188322e+01,-9.543400807748323444e+00,9.088243170886372013e-01,-1.312796928131048979e+00
1.604430643670844603e+01,-9.455634843120934718e+00,7.446492132630390115e-01,-1.244803302879444518e+00
1.613837823941558725e+01,-9.379818366474845348e+00,6.209070922924934122e-01,-8.072172012912973704e-01
1.624156086610956606e+01,-9.312284696260469730e+00,5.462573612426688818e-01,-4.134400870857947718e-01
1.634968389175575254e+01,-9.249242441665064263e+00,5.167860760388757191e-01,-6.268983335509108190e-02
1.645857689131952739e+01,-9.186900211875890676e+00,5.302945180612453902e-01,2.804594676142926346e-01
1.656455801774656678e+01,-9.121910785403903432e+00,5.689161587356286187e-01,2.752876187170876232e-01
1.666731718484436087e+01,-9.053992229827654725e+00,5.972740048070914742e-01,1.839158492912392751e-01
1.676796678713911959e+01,-8.984155798919660540e+00,6.139389749279310360e-01,8.750774593093027520e-02
1.686762423231505892e+01,-8.913417303946028269e+00,6.186198676624627968e-01,-1.107413027679244981e-02
1.696740653677080957e+01,-8.842792200504202782e+00,6.113470685844747399e-01,-9.463844923575154278e-02
1.706810204820899202e+01,-8.772997192711061487e+00,6.013998704226209968e-01,-6.783623260380988729e-02
1.716957337028136266e+01,-8.703907506899970059e+00,5.946941236239660089e-01,-4.148294089649186972e-02
